date,site,chloride,sulfate
2022-06-01,1,120.8394  ,19.5813  
2022-06-01,2,119.4642  ,17.9636  
2022-06-01,3,120.8508  ,18.3045  
2022-06-01,4,119.4255  ,18.8974  
2022-06-01,5,121.1007  ,19.2681  
2022-06-01,6,121.1805  ,18.1840  
2022-06-01,7,120.7485  ,18.7208  
2022-06-01,8,119.8601  ,18.6798  
2022-06-13,1,119.3032  ,18.1832  
2022-06-13,2,109.4765  ,16.6817  
2022-06-13,3,119.0477  ,18.6859  
2022-06-13,4,119.3595  ,17.4399  
2022-06-13,5,120.0504  ,18.0520  
2022-06-13,6,120.7002  ,18.4293  
2022-06-13,7,120.8660  ,18.0701  
2022-06-13,8,120.3365  ,18.0228  
2022-06-20,5,118.81  ,18.02  
2022-06-20,6,119.07  ,18.12  
2022-06-20,7,119.47  ,18.05  
2022-06-20,8,119.28  ,18.12  
2022-06-20,1,118.4665  ,17.8139  
2022-06-20,2,122.9892  ,16.3653  
2022-06-20,3,110.2752  ,16.8023  
2022-06-20,4,115.4199  ,17.8501  
2022-06-28,1,120.42  ,18.54  
2022-06-28,2,120.84  ,18.64  
2022-06-28,3,121.35  ,18.15  
2022-06-28,4,120.49  ,18.04  
2022-06-28,5,120.38  ,18.38  
2022-06-28,6,121.33  ,18.22  
2022-06-28,7,119.60  ,18.09  
2022-06-28,8,122.28  ,18.46  
2022-07-07,1,118.94  ,18.34  
2022-07-07,2,120.16  ,18.50  
2022-07-07,3,105.28  ,15.39  
2022-07-07,4,118.19  ,17.64  
2022-07-07,5,118.65  ,18.29  
2022-07-07,6,119.68  ,18.18  
2022-07-07,7,119.70  ,18.18  
2022-07-07,8,119.54  ,18.01  
2022-07-13,1,121.90  ,18.51  
2022-07-13,2,122.00  ,18.37  
2022-07-13,3,125.42  ,19.97  
2022-07-13,4,117.67  ,18.50  
2022-07-13,5,122.39  ,18.88  
2022-07-13,6,122.94  ,18.41  
2022-07-13,7,122.87  ,18.49  
2022-07-13,8,122.73  ,18.28  
2022-07-21,1,121.54  ,18.68  
2022-07-21,2,121.82  ,18.41  
2022-07-21,3,125.65  ,19.48  
2022-07-21,4,119.71  ,17.59  
2022-07-21,5,122.17  ,17.98  
2022-07-21,6,122.99  ,18.67  
2022-07-21,7,121.87  ,18.88  
2022-07-21,8,122.89  ,18.24  
2022-07-28,1,120.74  ,18.10  
2022-07-28,2,118.47  ,17.41  
2022-07-28,3,123.96  ,18.94  
2022-07-28,4,118.97  ,18.12  
2022-07-28,5,122.40  ,18.46  
2022-07-28,6,122.69  ,18.88  
2022-07-28,7,122.47  ,18.42  
2022-07-28,8,121.73  ,18.21  